,pokemonId,days,latitude,longitude,temperature,windSpeed,population_density,windBearing,seconds,date
464,77.0,2016-09-02,38.196310555555556,-102.21037466666668,28.38888888888889,5.703333333333333,494.61644477777776,153.22222222222223,22:42:55,2016-09-02T22:42:55
465,77.0,2016-09-03,35.62968420000001,-107.61923847096777,25.475483870967757,8.339290322580647,884.6357266322585,186.41290322580645,9:40:57,2016-09-03T9:40:57
466,77.0,2016-09-04,35.82070776086956,-104.01804928985506,23.555072463768145,7.919637681159421,832.0940497246379,201.53623188405797,11:38:26,2016-09-04T11:38:26
467,77.0,2016-09-05,36.011595008403354,-107.9900874201681,22.96134453781513,7.4570588235294135,933.0808309957982,224.26470588235293,11:48:13,2016-09-05T11:48:13
468,77.0,2016-09-06,34.354544546012285,-107.7519831288343,23.136196319018428,6.071411042944788,719.0956593190181,185.079754601227,9:09:06,2016-09-06T9:09:06
469,77.0,2016-09-07,35.91272795238095,-107.97462024761904,25.504761904761907,9.445523809523817,1163.371340304762,226.9142857142857,6:35:15,2016-09-07T6:35:15
470,77.0,2016-09-08,36.45240038888889,-104.83392333333333,24.53888888888888,5.402777777777779,525.9063861111111,274.3333333333333,2:02:05,2016-09-08T2:02:05
471,78.0,2016-09-03,36.3257868,-113.0677034,25.3,5.808,535.952312,222.4,10:40:32,2016-09-03T10:40:32
472,78.0,2016-09-04,35.30882166666667,-105.55844983333333,24.28333333333333,7.201666666666665,1776.69725,196.0,15:54:08,2016-09-04T15:54:08
473,78.0,2016-09-05,37.14683471428572,-103.30053428571429,19.428571428571427,7.321428571428571,713.0936271428571,211.14285714285714,8:37:40,2016-09-05T8:37:40
474,78.0,2016-09-06,34.635480428571434,-112.35654357142857,22.457142857142856,4.061428571428571,1086.16367,221.85714285714286,8:00:37,2016-09-06T8:00:37
475,78.0,2016-09-07,29.714979500000002,-104.618287,31.049999999999997,13.64,3.542939,199.0,2:40:17,2016-09-07T2:40:17
476,79.0,2016-09-02,35.97775557142857,-83.954835,25.585714285714293,7.637857142857144,712.9762214285714,109.64285714285714,22:41:52,2016-09-02T22:41:52
477,79.0,2016-09-03,37.48174793103451,-87.7623134913793,22.066379310344814,6.741206896551723,1044.2391993793094,116.04310344827586,9:51:48,2016-09-03T9:51:48
478,79.0,2016-09-04,36.70608090209787,-86.75523997202805,23.299300699300712,5.919860139860141,1063.619588048951,148.93006993006992,11:16:52,2016-09-04T11:16:52
479,79.0,2016-09-05,36.372340044554434,-91.59481306930692,23.84405940594061,6.4520297029703,956.0932996732676,167.43564356435644,13:59:16,2016-09-05T13:59:16
480,79.0,2016-09-06,34.605049723076924,-88.40828641538464,25.44307692307693,6.678384615384609,1064.732555799999,175.54615384615386,11:36:15,2016-09-06T11:36:15
481,79.0,2016-09-07,37.214245919999996,-89.18719344000002,25.949333333333342,8.274399999999998,1662.383591346666,198.97333333333333,7:57:24,2016-09-07T7:57:24
482,79.0,2016-09-08,35.90413894444444,-84.10095911111111,25.90555555555556,7.04111111111111,1288.9640088888889,182.38888888888889,1:33:32,2016-09-08T1:33:32
483,80.0,2016-09-03,33.012492333333334,-85.875836,26.899999999999995,6.91,614.232,79.33333333333333,15:03:09,2016-09-03T15:03:09
484,80.0,2016-09-04,30.04252,-90.238136,28.8,5.34,0.0,180.0,15:36:14,2016-09-04T15:36:14
485,80.0,2016-09-05,38.9486766,-91.110442,22.860000000000003,5.7,1051.7759,96.2,15:31:40,2016-09-05T15:31:40
486,80.0,2016-09-06,35.22695433333334,-93.41254644444444,23.12222222222222,5.771111111111112,730.7925185555555,139.88888888888889,8:01:34,2016-09-06T8:01:34
487,80.0,2016-09-07,41.888884,-87.607722,31.8,17.23,5020.9673,202.0,21:08:04,2016-09-07T21:08:04
488,80.0,2016-09-08,33.897208,-79.4566315,24.65,6.744999999999999,444.1980909999999,137.5,1:41:19,2016-09-08T1:41:19
489,81.0,2016-09-02,41.624274,-70.90215400000002,22.0,9.53,3756.671,72.0,22:35:25,2016-09-02T22:35:25
490,81.0,2016-09-03,38.2353422,-88.02764650000002,23.11749999999999,9.58,868.56250175,95.75,11:43:45,2016-09-03T11:43:45
491,81.0,2016-09-04,38.99004472631581,-85.18026370526316,22.896842105263172,9.085368421052635,865.2644911578943,103.37894736842105,11:25:41,2016-09-04T11:25:41
492,81.0,2016-09-05,35.94368680821919,-89.88487172602738,23.33287671232877,7.656575342465751,1545.334633150686,120.15068493150685,11:39:27,2016-09-05T11:39:27
493,81.0,2016-09-06,31.54446304444444,-85.12960775555553,25.026666666666664,7.266777777777775,921.9872166666667,119.5,11:36:59,2016-09-06T11:36:59
494,81.0,2016-09-07,36.049551217391304,-95.56822350000002,24.373913043478268,10.853695652173913,1533.1447510869566,239.67391304347825,5:53:23,2016-09-07T5:53:23
495,81.0,2016-09-08,39.29352185714286,-87.56249442857143,27.4,11.492857142857144,3025.5129385714285,236.28571428571428,1:21:29,2016-09-08T1:21:29
496,82.0,2016-09-03,40.275752,-111.679906,29.2,14.65,2344.6538,189.0,17:02:40,2016-09-03T17:02:40
497,82.0,2016-09-04,40.648736,-73.153262,23.0,9.69,0.0,57.0,22:23:55,2016-09-04T22:23:55
498,82.0,2016-09-05,39.315818,-74.531269,19.4,2.73,708.5878,349.0,2:26:09,2016-09-05T2:26:09
499,82.0,2016-09-06,34.035309999999996,-84.14072320000001,22.059999999999995,12.544,2239.52612,81.6,12:28:08,2016-09-06T12:28:08
500,82.0,2016-09-07,36.62321,-90.78859833333333,31.133333333333336,16.26,3347.3115333333335,181.0,14:53:55,2016-09-07T14:53:55
501,82.0,2016-09-08,41.724499,-88.252088,24.2,10.27,913.3346,216.0,2:21:15,2016-09-08T2:21:15
502,84.0,2016-09-02,35.479324454545456,-106.9984098181818,26.75454545454545,7.324545454545455,1468.263578181818,151.72727272727272,22:28:48,2016-09-02T22:28:48
503,84.0,2016-09-03,34.13811566,-105.94874114000002,25.389999999999986,6.005999999999999,1374.1744818199995,165.62,10:52:05,2016-09-03T10:52:05
504,84.0,2016-09-04,33.05969990566037,-104.4862558867924,25.375471698113206,7.505849056603773,1195.7094794528302,175.45283018867926,12:34:29,2016-09-04T12:34:29
505,84.0,2016-09-05,32.75075338666667,-103.49059274666666,23.912000000000003,5.808666666666665,1297.2252922666662,165.50666666666666,10:47:40,2016-09-05T10:47:40
506,84.0,2016-09-06,32.95526248979591,-107.50505791836741,24.587755102040806,6.280510204081635,1102.5136425816322,195.70408163265307,9:50:41,2016-09-06T9:50:41
507,84.0,2016-09-07,34.00943235,-105.78110355000001,28.835,8.4555,1400.1790108,191.2,13:23:20,2016-09-07T13:23:20
508,84.0,2016-09-08,32.820938375,-103.07576875,28.925,8.89875,553.9906619999999,204.125,1:28:16,2016-09-08T1:28:16
509,85.0,2016-09-02,39.940495,-75.159235,24.6,5.46,5597.982,49.0,22:33:52,2016-09-02T22:33:52
510,85.0,2016-09-03,33.052534,-94.92925657142858,26.40714285714285,7.385714285714286,1159.0267797142858,122.5,13:35:39,2016-09-03T13:35:39
511,85.0,2016-09-04,32.774833666666666,-95.7741775,26.375,6.610000000000002,1518.0363416666667,155.08333333333334,10:09:23,2016-09-04T10:09:23
512,85.0,2016-09-05,35.399925,-90.71270658333333,26.433333333333337,10.591666666666667,3255.0370449999996,138.33333333333334,13:56:30,2016-09-05T13:56:30
513,85.0,2016-09-06,31.059245095238094,-93.39973595238096,27.804761904761897,5.546190476190477,1343.7632698571429,136.52380952380952,12:27:44,2016-09-06T12:27:44
514,85.0,2016-09-07,33.3005521,-94.647007,26.229999999999997,7.391,1476.5772347000002,200.7,8:17:29,2016-09-07T8:17:29
515,85.0,2016-09-08,32.392843,-91.17892133333334,27.233333333333334,5.890000000000001,740.6855833333333,145.0,1:53:20,2016-09-08T1:53:20
516,86.0,2016-09-02,34.188111000000006,-118.48884433333332,24.7,6.599999999999999,2431.2341,176.0,22:17:40,2016-09-02T22:17:40
517,86.0,2016-09-03,38.896765913043474,-84.57935430434783,21.565217391304348,7.392608695652175,1145.572153782609,112.08695652173913,11:12:11,2016-09-03T11:12:11
518,86.0,2016-09-04,38.29256984999999,-85.51909604999999,22.58,6.135,1241.86131295,123.95,14:13:31,2016-09-04T14:13:31
519,86.0,2016-09-05,38.408084900000006,-85.82921447499999,22.0425,5.485249999999999,677.9415463500001,174.125,11:44:43,2016-09-05T11:44:43
520,86.0,2016-09-06,36.26651828571429,-89.0130967142857,21.968571428571426,5.455714285714286,664.0946911428573,158.71428571428572,8:26:02,2016-09-06T8:26:02
521,86.0,2016-09-07,41.156637476190475,-85.1904144761905,22.95238095238095,7.9785714285714295,1511.452529238095,154.23809523809524,8:08:17,2016-09-07T8:08:17
522,86.0,2016-09-08,37.518112200000004,-86.68914459999999,27.76,9.706,1122.41144,179.0,0:56:23,2016-09-08T0:56:23
523,87.0,2016-09-07,26.13234,-97.167536,29.8,14.32,0.0,139.0,0:59:08,2016-09-07T0:59:08
524,88.0,2016-09-03,34.44613385714286,-100.07184285714287,26.885714285714283,7.442857142857142,1539.7786357142854,154.57142857142858,14:26:17,2016-09-03T14:26:17
525,88.0,2016-09-04,33.498937000000005,-98.46764066666667,30.833333333333332,6.033333333333332,952.5355166666667,178.66666666666666,14:40:43,2016-09-04T14:40:43
526,88.0,2016-09-05,32.438142444444445,-86.75920833333333,24.900000000000002,4.902222222222223,695.0650996666667,137.22222222222223,9:19:47,2016-09-05T9:19:47
527,88.0,2016-09-06,33.795998299999994,-83.5679795,26.53,7.9780000000000015,1192.53312,133.8,11:55:35,2016-09-06T11:55:35
528,88.0,2016-09-07,32.85108033333333,-91.57983850000001,28.51666666666667,9.048333333333334,758.6716533333333,181.83333333333334,3:55:51,2016-09-07T3:55:51
529,90.0,2016-09-02,43.57760833333333,-73.04941166666667,20.133333333333336,3.8266666666666667,831.5709333333333,23.0,22:58:48,2016-09-02T22:58:48
530,90.0,2016-09-03,37.91312251063829,-87.74419485106382,21.955319148936166,5.923617021276594,705.1470469787233,124.80851063829788,12:14:36,2016-09-03T12:14:36
531,90.0,2016-09-04,37.65823038961038,-88.41204109090911,22.383116883116898,6.448181818181819,877.3789233116884,151.7922077922078,12:34:16,2016-09-04T12:34:16
532,90.0,2016-09-05,38.25396351785714,-84.66535226785713,23.3875,6.175535714285714,1002.3314886071429,157.07142857142858,12:03:48,2016-09-05T12:03:48
533,90.0,2016-09-06,36.526364226666665,-87.01905700000002,23.711999999999996,6.584800000000003,758.307581466667,165.45333333333335,11:24:03,2016-09-06T11:24:03
534,90.0,2016-09-07,35.51757739534885,-86.67571304651163,25.583720930232555,9.086279069767441,1495.210561860465,144.6046511627907,6:04:41,2016-09-07T6:04:41
535,90.0,2016-09-08,37.564213499999994,-84.48294883333332,26.658333333333335,9.571666666666667,2767.97783,173.66666666666666,1:30:07,2016-09-08T1:30:07
536,91.0,2016-09-02,39.272038,-74.579418,23.8,7.4,0.0,67.0,22:10:19,2016-09-02T22:10:19
537,91.0,2016-09-03,42.9693625,-80.2737705,14.6,5.84,587.136761,56.0,3:30:10,2016-09-03T3:30:10
538,91.0,2016-09-05,35.615916999999996,-81.683755,25.700000000000003,10.195,0.0,75.5,13:27:17,2016-09-05T13:27:17
539,91.0,2016-09-07,37.284688,-79.54696633333333,24.366666666666664,6.516666666666666,1301.8951433333334,169.0,1:51:51,2016-09-07T1:51:51
540,92.0,2016-09-02,38.935876,-97.39600050000001,26.083333333333332,8.421666666666667,2307.3112133333334,105.5,22:37:52,2016-09-02T22:37:52
541,92.0,2016-09-03,40.58394248809523,-89.03905328571429,19.82976190476191,6.225833333333331,1142.758592023809,109.85714285714286,12:06:36,2016-09-03T12:06:36
542,92.0,2016-09-04,39.68108866666665,-83.95006504597701,21.836781609195413,5.746321839080459,975.2810894137932,140.04597701149424,11:47:18,2016-09-04T11:47:18
543,92.0,2016-09-05,39.718534467889896,-83.69524964220182,22.395412844036688,7.3502752293578,1267.2808423486235,159.52293577981652,12:03:12,2016-09-05T12:03:12
544,92.0,2016-09-06,38.691479442307696,-84.31599910576924,23.214423076923083,8.217788461538465,1261.7542546730774,164.55769230769232,12:12:12,2016-09-06T12:12:12
545,92.0,2016-09-07,38.835475407407394,-85.07065071604939,25.770370370370376,6.897407407407408,1170.9535073086424,215.79012345679013,7:54:50,2016-09-07T7:54:50
546,92.0,2016-09-08,40.809160750000004,-77.724115,23.558333333333334,6.015833333333334,1789.8785758333333,116.83333333333333,1:30:15,2016-09-08T1:30:15
547,93.0,2016-09-03,39.631346199999996,-82.81740640000001,21.1,7.378,1615.186102,83.4,7:42:13,2016-09-03T7:42:13
548,93.0,2016-09-04,38.52606955555555,-90.16389555555556,21.41111111111111,4.544444444444445,877.870944111111,186.55555555555554,11:33:21,2016-09-04T11:33:21
549,93.0,2016-09-05,40.49748333333333,-86.24387616666668,21.75,5.135,734.638617,235.66666666666666,11:56:30,2016-09-05T11:56:30
